      X_CENTROID    Y_CENTROID
0   1.073640e+06  1.049573e+06
1   1.079697e+06  1.053493e+06
2   1.074389e+06  1.055721e+06
3   1.069931e+06  1.052323e+06
4   1.082485e+06  1.057450e+06
5   1.080815e+06  1.050634e+06
6   1.078890e+06  1.059428e+06
7   1.074830e+06  1.052160e+06
8   1.083576e+06  1.050847e+06
9   1.076916e+06  1.048594e+06
10  1.081222e+06  1.046438e+06
11  1.071521e+06  1.050493e+06
12  1.077668e+06  1.054707e+06
13  1.070762e+06  1.054336e+06
14  1.083550e+06  1.054121e+06
15  1.077272e+06  1.050687e+06
16  1.076556e+06  1.056553e+06
17  1.080738e+06  1.055175e+06
18  1.083705e+06  1.057144e+06
19  1.077164e+06  1.053204e+06
20  1.069507e+06  1.050141e+06
21  1.072827e+06  1.054235e+06
22  1.078734e+06  1.048032e+06
23  1.080590e+06  1.059363e+06
24  1.071678e+06  1.051985e+06
25  1.068510e+06  1.053400e+06
26  1.075861e+06  1.049960e+06
27  1.072399e+06  1.055472e+06
28  1.084141e+06  1.058990e+06
29  1.067048e+06  1.052139e+06
30  1.079683e+06  1.056063e+06
31  1.082331e+06  1.051092e+06
32  1.078565e+06  1.051001e+06
33  1.082257e+06  1.047836e+06
34  1.075169e+06  1.055047e+06
35  1.074133e+06  1.051482e+06
36  1.083393e+06  1.044982e+06
37  1.082196e+06  1.058999e+06
38  1.080668e+06  1.052634e+06
39  1.081473e+06  1.048665e+06
40  1.082402e+06  1.055344e+06
41  1.071210e+06  1.053111e+06
42  1.079710e+06  1.057789e+06
43  1.077845e+06  1.057908e+06
44  1.085512e+06  1.060177e+06
45  1.085279e+06  1.052714e+06
46  1.076013e+06  1.051298e+06
47  1.081794e+06  1.053229e+06
48  1.076473e+06  1.054187e+06
49  1.071965e+06  1.056403e+06
50  1.072493e+06  1.052896e+06
51  1.078305e+06  1.053796e+06
52  1.077782e+06  1.056327e+06
53  1.074052e+06  1.054613e+06
54  1.074613e+06  1.050444e+06
55  1.079355e+06  1.054639e+06
56  1.079844e+06  1.051349e+06
57  1.074291e+06  1.057030e+06
58  1.073370e+06  1.053424e+06
59  1.071276e+06  1.055359e+06
60  1.083781e+06  1.055481e+06
61  1.070884e+06  1.052013e+06
62  1.070742e+06  1.050612e+06
63  1.078797e+06  1.046928e+06
64  1.069465e+06  1.051399e+06
65  1.073261e+06  1.051219e+06
66  1.079437e+06  1.052408e+06
67  1.075025e+06  1.049229e+06
68  1.084975e+06  1.051179e+06
69  1.082325e+06  1.045542e+06
70  1.069269e+06  1.052979e+06
71  1.075707e+06  1.057277e+06
72  1.076837e+06  1.049883e+06
73  1.068574e+06  1.052259e+06
74  1.067268e+06  1.053485e+06
75  1.073325e+06  1.055258e+06
76  1.074041e+06  1.052674e+06
77  1.075671e+06  1.052528e+06
78  1.083865e+06  1.051842e+06
79  1.072197e+06  1.051356e+06
80  1.081326e+06  1.056560e+06
81  1.081135e+06  1.058430e+06
82  1.071849e+06  1.054234e+06
83  1.084863e+06  1.055572e+06
84  1.079148e+06  1.049703e+06
85  1.082299e+06  1.049969e+06
86  1.073071e+06  1.052349e+06
87  1.080763e+06  1.053923e+06
88  1.083345e+06  1.048142e+06
89  1.076958e+06  1.051928e+06
90  1.073283e+06  1.056418e+06
91  1.084493e+06  1.057876e+06
92  1.074557e+06  1.053769e+06
93  1.082002e+06  1.054588e+06
94  1.080223e+06  1.049081e+06
95  1.076329e+06  1.053181e+06
96  1.078392e+06  1.052335e+06
97  1.076141e+06  1.055616e+06
98  1.072619e+06  1.050111e+06
99  1.070367e+06  1.053401e+06
