NAME	X	Y
Parking_13226	1080285.42300000000	1053785.63400000000
Parking_13228	1080566.39600000000	1053484.84700000000
Parking_13241	1081004.17300000000	1053743.14300000000
Parking_13394	1079852.31100000000	1049217.91000000000
Parking_13409	1078573.87300000000	1057442.84700000000
Parking_13418-1	1079611.49800000000	1057791.76700000000
Parking_13425	1080241.81900000000	1057884.24600000000
Parking_13438	1084701.04000000000	1057480.79000000000
Parking_13449-1	1078907.52200000000	1050809.96500000000
Parking_13534-2	1078578.02500000000	1047379.97500000000
Parking_13708	1068314.06700000000	1052192.86300000000
Parking_13712	1067995.73100000000	1052293.98600000000
Parking_13771-1	1071694.30300000000	1049201.38400000000
Parking_13828	1086863.94400000000	1057937.99400000000
Parking_13833-2	1071323.04500000000	1049176.79600000000
Parking_13862-1	1074493.76600000000	1048692.39500000000
Parking_13862-2	1074841.62800000000	1048449.39100000000
Parking_13919	1089116.30000000000	1059420.75200000000
Parking_13939	1086267.64200000000	1059101.37300000000
Parking_13958	1074483.57000000000	1048440.78300000000
Parking_13981-3	1074380.76600000000	1048221.17600000000
Parking_13982	1074706.77100000000	1048243.71200000000
Parking_14004	1085108.98100000000	1046542.21100000000
Parking_14062	1084119.36500000000	1046755.95800000000
Parking_14076	1087214.21400000000	1045903.24700000000
Parking_14085-1	1087894.48200000000	1045582.40300000000
Parking_14094	1068600.83000000000	1051560.21400000000
Parking_141	1061950.35900000000	1073899.14200000000
Parking_14114	1068081.22400000000	1051043.02100000000
Parking_14135	1087565.16800000000	1046708.82900000000
Parking_14142	1088290.08400000000	1046572.57400000000
Parking_14159-1	1072626.88700000000	1053427.64900000000
Parking_14159-2	1072460.60700000000	1053769.64800000000
Parking_14169	1089437.37500000000	1047245.98500000000
Parking_14276	1071748.13100000000	1050851.77800000000
Parking_14287-1	1071625.79500000000	1049944.39200000000
Parking_1434	1077067.87400000000	1077429.83900000000
Parking_14342	1070024.82600000000	1048896.90800000000
Parking_14374-1	1070719.83200000000	1048017.43000000000
Parking_14374-2	1070023.82800000000	1048167.40800000000
Parking_14374-4	1070009.72700000000	1047887.88400000000
Parking_14418	1088229.00900000000	1052429.22100000000
Parking_14428-2	1088366.78000000000	1052980.66900000000
Parking_14443	1064758.35000000000	1056847.11600000000
Parking_14453-5	1085769.01000000000	1051070.80100000000
Parking_14457-2	1088558.34000000000	1052509.07200000000
Parking_14468-1	1088601.53200000000	1053442.62800000000
Parking_14468-2	1088869.97100000000	1052783.36300000000
Parking_14583	1087380.24900000000	1056103.61600000000
Parking_14603	1085989.20500000000	1056279.54200000000
Parking_14622-1	1089088.63800000000	1056731.35500000000
Parking_14622-2	1088794.96500000000	1056545.41300000000
Parking_14664-1	1071116.48600000000	1048222.80400000000
Parking_14837-1	1089907.64900000000	1052330.56600000000
Parking_14851-1	1068969.65000000000	1048769.11000000000
Parking_14876	1089924.92200000000	1052645.08300000000
Parking_14898	1076368.53800000000	1047731.56700000000
Parking_14926-2	1077076.05900000000	1051071.72800000000
Parking_14997-16	1090178.33600000000	1046343.83200000000
Parking_15001-3	1089607.21700000000	1046308.55300000000
Parking_15017-5	1087147.67000000000	1047657.15600000000
Parking_15036	1072346.74700000000	1048859.79300000000
Parking_15044	1072689.62300000000	1048494.82900000000
Parking_15051	1089838.46500000000	1049005.02800000000
Parking_15053-2	1089642.55900000000	1049732.88100000000
Parking_15063-2	1089934.85700000000	1050337.25900000000
Parking_15070-1	1072779.70400000000	1046388.95300000000
Parking_15070-3	1073193.04400000000	1046315.51800000000
Parking_1507-1	1078787.94400000000	1068243.46900000000
Parking_15390	1087425.93100000000	1048343.59400000000
Parking_15407	1089996.66400000000	1048564.22400000000
Parking_15465	1074188.81500000000	1043964.44700000000
Parking_15604-1	1068804.48600000000	1050190.94000000000
Parking_15604-2	1068722.87600000000	1050531.92000000000
Parking_15612	1069251.47100000000	1049966.89400000000
Parking_15614-2	1069752.70200000000	1049895.11900000000
Parking_15620	1068093.05500000000	1049956.48700000000
Parking_15628	1067962.61100000000	1049497.15500000000
Parking_15635	1067387.72300000000	1050774.92300000000
Parking_15639	1067802.39700000000	1050289.37700000000
