Name	X-Coordinate	Y-Coordinate
Buf1_12810	1083833.355	1056502.857
Buf1_12824	1081791.559	1057462.011
Buf1_12829	1082051.716	1057465.708
Buf1_12850	1083130.37	1058069.034
Buf1_12860-1	1077803.872	1049349.674
Buf1_12860-2	1077532.766	1049379.52
Buf1_1289	1078767.803	1071365.156
Buf1_1289-2	1078980.579	1071537.744
Buf1_12914-1	1082268.801	1053750.531
Buf1_12930	1082684.601	1054751.962
Buf1_12930-1	1082863.306	1054635.554
Buf1_12937	1083370.771	1054790.998
Buf1_12938	1083643.253	1054833.865
Buf1_12944	1080085.697	1051627.256
Buf1_12961	1080817.213	1052897.429
Buf1_12977	1080767.201	1053545.193
Buf1_12978	1080774.761	1054211.752
Buf1_12982-1	1080609.796	1054217.323
Buf1_13008	1080758.463	1056669.031
Buf1_13016	1079228.627	1054424.377
Buf1_13016-1	1079082.356	1054169.761
Buf1_13026	1078708.814	1054423.354
Buf1_1303	1076040.522	1071890.609
Buf1_1303-1	1075411.786	1072094.866
Buf1_13039	1084444.41	1058067.503
Buf1_13049	1079807.547	1054983.043
Buf1_13052	1079824.555	1056189.979
Buf1_13052-1	1080016.518	1056127.503
Buf1_131	1061498.561	1073893.086
Buf1_131-1	1061725.686	1073738.924
Buf1_13110	1081275.737	1055251.703
Buf1_13128	1082930.811	1055322.664
Buf1_1313	1081287.526	1075396.002
Buf1_13141	1081864.754	1053210.745
Buf1_13192	1080290.563	1048839.386
Buf1_13201-1	1083893.916	1055634.028
Buf1_13208	1083881.563	1055973.385
Buf1_13218	1080005.867	1053830.828
Buf1_13226	1080320.423	1053860.634
Buf1_13226-1	1080469.392	1053147.169
Buf1_13228	1080601.396	1053559.847
Buf1_13230	1080765.643	1053175.648
Buf1_13241	1081039.173	1053818.143
Buf1_13244	1082071.59	1056911.243
Buf1_1325	1074676.386	1076200.756
Buf1_13264	1083974.692	1057977.972
Buf1_13271	1084185.539	1058115.249
Buf1_13290	1083278.713	1058814.487
Buf1_13361	1084007.343	1056739.583
Buf1_13394	1079887.311	1049292.91
Buf1_13398	1080599.21	1049247.729
Buf1_13407	1084193.452	1057317.915
Buf1_13409	1078608.873	1057517.847
Buf1_13416	1079413.382	1057899.796
Buf1_13423	1084441.268	1057505.632
Buf1_13425	1080276.819	1057959.246
Buf1_13438	1084736.04	1057555.79
Buf1_1344	1075258.243	1077325.867
Buf1_13449-2	1078716.72	1051178.332
Buf1_13449-3	1078669.165	1050733.923
Buf1_13457-1	1078831.865	1051368.607
Buf1_13457-2	1078952.409	1051329.471
Buf1_13459	1078815.885	1051624.315
Buf1_1347	1079929.417	1075554.582
Buf1_13487	1078550.726	1047316.884
Buf1_13488	1078663.179	1046999.475
Buf1_13497	1078944.763	1047090.312
Buf1_1353	1080087.433	1076006.841
Buf1_1353-2	1079916.993	1076099.407
Buf1_13582	1080013.597	1052679.28
Buf1_13582-1	1080009.388	1052009.866
Buf1_13598	1080157.106	1052091.384
Buf1_13598-1	1080167.503	1052620.075
Buf1_13607	1080595.515	1052768.444
Buf1_13607-2	1080601.475	1052182.931
Buf1_1361	1080077.715	1073145.521
Buf1_13612	1077414.249	1051080.717
Buf1_13621-1	1077956.733	1051100.702
Buf1_13621-2	1078117.313	1050841.908
Buf1_13621-3	1077840.068	1050683.646
Buf1_1363	1079901.853	1072593.983
Buf1_13645	1078687.664	1051667.36
