NAME	X	Y	AREA
Parking_E-MH-4376-3	1075096.34	1050907.04	1.946
Parking_E-MH-7559	1075578.408	1051102.587	3.3
SAimp_E-MH-7559	1075613.408	1051077.587	0.525
SAimp_E-node-426	1075699.45	1054752.544	1.426
SAimp_11854-2	1075833.999	1053620.441	1.441
SAimp_E-MH-3609	1075886.861	1052835.368	0.122
SAimp_E-MH-3570-1	1075915.894	1050356.216	0.372
SAimp_E-MH-3643	1075972.861	1050697.736	0.159
Parking_E-MH-3608-1	1076048.796	1053060.176	0.468
SAimp_E-MH-3608-1	1076083.796	1053035.176	0.464
Parking_E-MH-3585-2	1076092.997	1052610.075	0.206
SAimp_E-MH-7502	1076095.235	1053402.098	0.233
SAimp_E-MH-7498	1076100.416	1054143.289	0.13
SAimp_E-MH-7500	1076101.217	1053814.339	0.29
SAimp_E-MH-3550-1	1076104.297	1050314.967	0.227
SAimp_E-node-2535	1076104.882	1051860.042	0.606
SAimp_E-MH-3558	1076105.314	1051030.547	0.437
SAimp_E-MH-3623-2	1076105.448	1050543.66	0.175
SAimp_E-MH-3570-2	1076105.767	1049984.121	0.422
Parking_11668	1076107.208	1054959.117	0.226
SAimp_E-MH-3608-2	1076108.596	1052844.853	0.124
SAimp_E-MH-3585-2	1076127.997	1052585.075	0.265
SAimp_11668	1076142.208	1054934.117	2.005
SAimp_E-ADDED-E-11855-2	1076231.02	1053244.426	0.194
SAimp_E-MH-3561	1076231.622	1052319.913	0.151
SAimp_E-MH-3552-2	1076234.292	1051407.26	0.125
SAimp_E-MH-3550-2	1076245.105	1050134.119	0.15
SAimp_11665-2	1076255.053	1054269.305	0.151
SAimp_E-MH-3657	1076256.756	1051316.354	0.115
SAimp_E-MH-8122-2	1076271.436	1049749.131	0.565
Parking_E-MH-3618	1076348.812	1053908.24	0.262
Parking_E-MH-3554	1076351.606	1051040.474	0.31
SAimp_E-MH-3617	1076362.789	1053456.741	0.269
SAimp_E-MH-3552-1	1076366.096	1051857.993	0.569
SAimp_E-MH-3549	1076367.826	1050360.341	0.415
SAimp_E-MH-3621	1076370.645	1054878.183	0.51
SAimp_E-MH-3607	1076373.054	1052752.075	0.614
SAimp_E-MH-3618	1076383.812	1053883.24	0.31
Parking_E-node-2430	1076384.457	1044786.143	0.749
SAimp_E-MH-3554	1076386.606	1051015.474	0.492
SAimp_E-node-2430	1076419.457	1044761.143	1.198
SAimp_12632-1	1076491.187	1046646.608	7.15
Parking_E-MH-3606	1076491.507	1053202.408	0.102
SAimp_E-MH-3548	1076495.572	1050043.843	0.142
SAimp_E-node-2272-2	1076498.717	1049933.776	0.125
SAimp_E-MH-3655	1076505.714	1051324.494	0.116
SAimp_E-MH-3551	1076507.783	1051418.805	0.127
SAimp_11850	1076518.608	1053314.499	0.17
SAimp_E-MH-3606	1076526.507	1053177.408	0.183
Parking_E-MH-3641	1076533.046	1051010.911	0.267
SAimp_E-MH-3568	1076555.875	1050375.516	0.237
SAimp_E-MH-7585	1076559.5	1054189.471	0.126
SAimp_E-MH-8118	1076563.089	1049603.08	0.129
SAimp_11642-1	1076566.227	1051907.337	0.437
SAimp_E-MH-3641	1076568.046	1050985.911	0.253
SAimp_E-MH-7584	1076570.143	1053916.576	0.147
SAimp_E-MH-7583	1076575.062	1054418.533	0.197
SAimp_E-node-2272-1	1076583.831	1049795.88	0.102
SAimp_E-ADDED-E-MH-7744	1076629.162	1052799.561	0.191
SAimp_11646-2	1076630.181	1052524.835	0.218
SAimp_E-MH-7582	1076636.145	1055136.466	0.963
SAimp_11655	1076645.764	1053549.159	0.272
SAimp_11652	1076652.892	1053072.747	0.163
SAimp_E-MH-3538	1076699.844	1050460.894	0.107
SAimp_11657	1076701.789	1053914.936	0.104
SAimp_11646-1	1076701.989	1052040.963	0.129
SAimp_11642-2	1076702.765	1051628.006	0.115
SAimp_E-MH-3640-2	1076768.513	1050689.803	0.143
SAimp_E-MH-3563-2	1076774.736	1049954.634	0.256
SAimp_E-node-2537-2	1076775.634	1052326.946	0.152
SAimp_E-MH-3654-2	1076775.875	1051348.151	0.242
SAimp_E-MH-3604	1076783.137	1053264.044	0.156
SAimp_E-node-445-4	1076817.167	1053401.552	0.26
Parking_E-MH-8117	1076821.411	1049613.123	0.661
SAimp_E-node-446-2	1076836.189	1054598.538	0.181
SAimp_SPP94-1	1076837.865	1043993.287	0.125
Parking_E-MH-18997-2	1076848.94	1045030.707	0.171
SAimp_E-MH-8117	1076856.411	1049588.123	0.281
Parking_E-node-2537-1	1076860.684	1052828.743	0.149
SAimp_E-node-445-1	1076875.867	1054312.793	0.208
SAimp_E-MH-18997-2	1076883.94	1045005.707	1.02
SAimp_E-node-445-3	1076891.602	1053620.131	0.118
SAimp_E-MH-3614	1076894.453	1050315.613	0.239
SAimp_E-node-2537-1	1076895.684	1052803.743	0.603
SAimp_E-MH-3563-1	1076896.399	1050021.571	0.124
SAimp_E-MH-3654-1	1076907.265	1051851.383	0.572
SAimp_E-MH-3616	1076907.555	1050578.022	0.118
SAimp_E-MH-3640-1	1076923.893	1050917.567	0.54
SAimp_E-node-2271-2	1076927.82	1049769.133	0.112
SAimp_E-node-446-3	1076964.868	1055305.136	0.835
SAimp_E-node-2271-1	1077039.816	1049894.963	0.266
SAimp_E-MH-3576	1077041.993	1052342.606	0.154
SAimp_E-MH-18989-1	1077045.335	1044364.507	0.178
SAimp_E-MH-18988	1077062.043	1044623.206	0.22
SAimp_11828-1	1077065.351	1053299.304	0.177
Parking_14926-2	1077076.059	1051071.728	0.272
Parking_E-MH-18897	1077082.212	1045360.333	0.578
SAimp_11628	1077095.594	1049575.596	0.221
SAimp_14926-2	1077111.059	1051046.728	0.123
SAimp_E-MH-18897	1077117.212	1045335.333	0.883
Parking_11843-1	1077124.394	1053549.823	0.113
SAimp_E-node-2540-4	1077136.163	1050338.899	0.17
Parking_11969	1077138.42	1051573.98	0.548
SAimp_13541	1077140.174	1050551.296	0.121
Parking_11828-2	1077158.55	1053066.584	0.213
SAimp_11843-1	1077159.394	1053524.823	0.275
SAimp_E-node-446-1	1077169.364	1054789.142	0.319
SAimp_E-MH-18961	1077169.374	1045562.149	0.696
SAimp_E-MH-4515	1077170.299	1052623.841	0.173
SAimp_14929	1077170.876	1052056.834	0.271
SAimp_11969	1077173.42	1051548.98	0.513
SAimp_14923	1077182.341	1050811.829	0.116
SAimp_11828-2	1077193.55	1053041.584	0.527
SAimp_11716	1077196.538	1049975.562	0.193
SAimp_14926-1	1077202.983	1051206.399	0.12
SAimp_SPP94-2	1077225.361	1044160.607	0.118
SAimp_E-MH-4095	1077259.978	1050437.195	0.102
SAimp_E-MH-3524-2	1077273.191	1054490.085	0.229
Parking_E-MH-18989-2	1077279.529	1044470.821	0.165
SAimp_E-MH-3535	1077297.209	1056783.626	0.155
Parking_E-MH-3527	1077303.557	1056542.869	0.228
SAimp_13617	1077313.203	1049488.56	0.345
SAimp_E-MH-18989-2	1077314.529	1044445.821	0.214
SAimp_E-MH-3572	1077321.107	1052341.102	0.161
SAimp_E-MH-3594	1077322.007	1053430.32	0.168
SAimp_11608	1077337.432	1055733.463	0.395
SAimp_E-MH-3527	1077338.557	1056517.869	0.302
SAimp_E-MH-18939	1077338.802	1045807.976	0.889
SAimp_11600	1077363.623	1053986.105	0.58
SAimp_11605-1	1077365.113	1055174.841	0.564
SAimp_13612	1077414.249	1050980.717	0.488
SAimp_E-MH-18878	1077425.234	1043910.48	0.186
SAimp_E-MH-3645	1077429.653	1051811.863	0.872
SAimp_E-MH-3524-1	1077433.116	1054689.916	0.146
SAimp_E-node-2540-1	1077439.246	1050336.622	0.104
SAimp_E-MH-4102	1077441.619	1050484.555	0.116
SAimp_E-MH-4092-1	1077465.018	1049739.123	0.65
SAimp_E-MH-3573	1077469.458	1052864.455	0.804
Parking_E-MH-3596	1077497.171	1053557.138	0.163
SAimp_E-MH-4125-1	1077500.793	1050594.196	0.34
SAimp_E-MH-18922	1077520.43	1046056.89	0.727
SAimp_E-MH-3596	1077532.171	1053532.138	0.505
SAimp_12860-2	1077532.766	1049279.52	0.18
Parking_E-MH-18902	1077543.265	1045009.293	0.408
SAimp_11605-2	1077543.341	1054897.794	0.107
SAimp_E-MH-18902	1077578.265	1044984.293	0.785
SAimp_E-node-2540-2	1077604.106	1050086.689	0.925
SAimp_E-MH-18887	1077609.763	1044621.614	0.206
SAimp_E-MH-4125-3	1077668.486	1050965.076	0.503
SAimp_11972	1077675.747	1051755.982	0.875
SAimp_E-MH-7667	1077676.896	1055699.344	0.978
SAimp_E-node-2536-2	1077688.619	1052855.322	0.875
SAimp_E-MH-7762	1077689.346	1054312.712	0.316
SAimp_E-MH-7668	1077694.372	1054741.453	0.315
SAimp_E-MH-7763	1077696.623	1053887.643	0.325
Parking_E-node-2536-1	1077767.916	1053577.344	0.161
SAimp_E-node-2428	1077786.326	1044137.758	0.777
SAimp_E-node-2536-1	1077802.916	1053552.344	0.267
SAimp_12860-1	1077803.872	1049249.674	0.359
SAimp_13621-3	1077840.068	1050583.646	0.106
SAimp_E-MH-3839-3	1077843.027	1050315.835	0.363
SAimp_E-MH-3575	1077846.338	1052326.778	0.157
SAimp_E-MH-3597	1077852.974	1053713.14	0.246
Parking_E-MH-3648	1077908.121	1052480.305	0.311
SAimp_E-MH-19318	1077917.941	1044366.058	0.232
SAimp_E-MH-18912	1077930.082	1045468.029	0.159
SAimp_E-MH-3648	1077943.121	1052455.305	1.834
SAimp_E-MH-3838-2	1077954.619	1049485.703	0.231
SAimp_13621-1	1077956.733	1051000.702	0.4
Parking_12647	1077956.872	1047244.364	1.794
SAimp_E-MH-7889	1077979.595	1054959.797	0.372
SAimp_12647	1077991.872	1047219.364	0.95
SAimp_SPP77	1077994.144	1045854.51	0.178
SAimp_E-MH-7888	1078011.719	1055877.856	1.313
SAimp_E-MH-3652	1078015.231	1054464.653	0.449
SAimp_E-MH-3649	1078016.106	1053962.881	0.296
SAimp_SPP81	1078031.589	1045118.605	0.109
SAimp_E-MH-3838-3	1078034.007	1049818.531	0.175
Parking_E-MH-7826	1078072.185	1051425.209	0.15
SAimp_E-node-2533-1	1078077.986	1051270.727	0.129
SAimp_E-MH-19374	1078082.058	1044712.011	0.245
SAimp_E-MH-7826	1078107.185	1051400.209	0.1
SAimp_SPP218w-1	1078109.619	1050518.494	0.197
SAimp_E-MH-3599	1078154.73	1053761.736	0.348
SAimp_E-MH-8078-2	1078168.445	1055237.857	0.28
SAimp_SPP75-1	1078168.812	1045807.154	0.251
SAimp_E-MH-3839-1	1078192.393	1050023.368	0.256
Parking_E-node-2533-2	1078205.862	1050981.788	0.105
SAimp_E-MH-7973	1078219.461	1051854.625	0.627
SAimp_E-MH-3839-2	1078220.675	1050284.917	0.334
SAimp_E-MH-3838-1	1078222.265	1049663.076	0.413
SAimp_E-MH-7672-1	1078233.328	1052593.821	0.855
SAimp_E-MH-20232	1078235.002	1053299.568	0.676
SAimp_E-node-2533-2	1078240.862	1050956.788	0.476
SAimp_12663-1	1078244.878	1049065.145	0.457
SAimp_E-MH-3838-4	1078244.967	1049489.841	0.206
SAimp_E-ADDED-E-21571	1078258.459	1045187.794	0.632
SAimp_E-MH-18892	1078270.218	1045629.107	1.081
SAimp_SPP218w-2	1078272.078	1050628.715	0.138
Parking_E-MH-8078-1	1078305.408	1055863.417	0.127
Parking_E-MH-3602-2	1078308.155	1053742.799	0.249
SAimp_E-MH-3602-1	1078310.038	1053881.655	0.141
SAimp_E-MH-8077	1078323.551	1054744.632	0.283
SAimp_E-MH-6912	1078326.01	1054372.786	0.25
SAimp_E-MH-4134-1	1078334.897	1051379.97	0.112
SAimp_E-MH-6911	1078338.413	1054098.257	0.197
SAimp_E-MH-8078-1	1078340.408	1055838.417	1.505
SAimp_E-MH-7908	1078342.784	1051251.38	0.125
SAimp_E-MH-3602-2	1078343.155	1053717.799	0.118
SAimp_E-MH-4023	1078390.275	1053905.766	0.108
SAimp_E-MH-6130	1078392.944	1047824.416	0.526
SAimp_E-MH-18841	1078420.084	1046384.173	0.527
SAimp_E-node-1102-2	1078423.353	1050998.831	0.213
SAimp_E-MH-7672-2	1078425.379	1052098.446	0.144
SAimp_E-MH-4144	1078428.984	1052725.885	0.166
Parking_E-MH-4146	1078458.646	1053387.459	0.133
SAimp_E-MH-3774	1078471.784	1048755.331	0.414
SAimp_E-MH-4146	1078493.646	1053362.459	0.513
SAimp_E-MH-6123-2	1078501.14	1048249.505	0.143
SAimp_E-MH-18916-1	1078508.902	1045584.24	0.446
SAimp_E-MH-7907	1078518.687	1051755.626	0.514
SAimp_E-node-1102-1	1078532.463	1050914.268	0.112
SAimp_E-MH-7672-3	1078550.148	1052677.021	0.17
SAimp_E-MH-4008	1078555.067	1054328.13	0.293
SAimp_E-MH-4131	1078572.522	1051210.807	0.19
Parking_E-MH-4023-1	1078597.959	1053951.925	0.149
SAimp_13670	1078600.714	1050302.949	0.883
SAimp_E-MH-17906-1	1078611.475	1045987.472	2.156
Parking_E-MH-7846	1078612.584	1056076.536	0.548
SAimp_E-MH-6151-2	1078625.897	1049289.71	0.583
SAimp_E-MH-4023-1	1078632.959	1053926.925	0.383
SAimp_E-MH-4010	1078646.589	1054838.274	0.239
SAimp_E-MH-7846	1078647.584	1056051.536	1.549
SAimp_E-MH-6123-1	1078648.636	1048175.588	0.303
SAimp_E-MH-7848	1078654.616	1055179.634	0.25
SAimp_SPP69	1078666.462	1048451.388	0.251
SAimp_13449-3	1078669.165	1050633.923	0.217
SAimp_SPP315-2	1078678.796	1049094.225	0.3
SAimp_13650-3	1078682.172	1052011.048	0.182
SAimp_13449-4	1078682.569	1050814.691	0.112
SAimp_13645	1078687.664	1051567.36	0.168
Parking_E-MH-7877	1078689.335	1053496.187	0.157
SAimp_E-ADDED-E-1568-3	1078696.863	1048827.981	0.174
SAimp_13026	1078708.814	1054323.354	0.215
SAimp_13449-2	1078716.72	1051078.332	0.271
SAimp_E-MH-7877	1078724.335	1053471.187	1.168
SAimp_13650-2	1078739.422	1052522.454	0.185
SAimp_E-MH-7879	1078774.537	1052777.45	0.232
SAimp_E-MH-7650-3	1078779.809	1059572.922	0.1
SAimp_E-MH-18916-2	1078798.471	1046160.743	0.293
SAimp_13459	1078815.885	1051524.315	0.217
SAimp_E-MH-4066-1	1078831.019	1052072.199	0.25
Parking_E-MH-7981	1078848.185	1050967.527	0.442
Parking_E-MH-7902	1078886.393	1054419.2	0.29
Parking_13449-1	1078907.522	1050809.965	0.186
SAimp_E-MH-7902	1078921.393	1054394.2	0.517
Parking_E-MH-7897	1078921.71	1056252.499	0.375
SAimp_E-MH-7777-2	1078931.179	1052968.94	0.257
SAimp_E-MH-7900	1078938.551	1054939.582	0.232
Parking_E-node-2463	1078951.877	1050503.894	0.181
SAimp_E-MH-7899	1078953.019	1055294.315	0.254
SAimp_E-MH-7897	1078956.71	1056227.499	1.351
SAimp_13657-1	1078958.046	1052643.667	0.147
SAimp_E-node-2463	1078986.877	1050478.894	0.211
Parking_E-MH-4149-2	1079011.898	1050946.829	0.257
SAimp_E-MH-7777-1	1079013.297	1053497.791	0.635
SAimp_13662	1079034.119	1051771.996	0.842
SAimp_E-ADDED-E-1568-2	1079053.903	1048724.45	0.31
SAimp_13657-2	1079077.18	1052531.09	0.141
SAimp_13016-1	1079082.356	1054069.761	0.228
Parking_E-MH-3421	1079107.642	1050034.934	0.198
