               0            1      2     3     4
122  1083718.825  1052211.802  0.902  29.0   8.0
123  1083723.661  1051133.426  0.154  31.0  94.0
124  1083736.287  1048089.225  0.906  13.0  10.0
125  1083753.825  1052186.802  0.233  29.0   8.0
126  1083771.287  1048064.225  2.127  13.0  10.0
127  1083806.094  1050475.186  0.160   4.0  49.0
128  1083874.342  1051385.890  0.403   1.0  83.0
129  1083909.342  1051360.890  0.110   1.0  83.0
130  1083992.644  1051555.799  1.087   1.0  37.0
131  1084003.458  1051041.965  0.560  20.0   1.0
132  1084021.011  1051251.759  0.149  20.0  83.0
133  1084027.644  1051530.799  0.117   1.0  37.0
134  1084038.458  1051016.965  0.368  20.0   1.0
135  1084104.111  1052154.582  0.265  24.0  59.0
136  1084139.111  1052129.582  0.207  24.0  59.0
137  1084272.665  1051452.162  0.421   1.0  86.0
138  1084275.095  1051856.393  3.530  24.0  50.0
139  1084310.095  1051831.393  0.163  24.0  50.0
140  1084384.309  1052234.953  0.870  24.0  39.0
141  1084519.828  1051078.182  1.520  46.0  46.0
142  1084554.828  1051053.182  0.525  46.0  46.0
143  1084951.785  1051065.032  3.256  28.0  11.0
144  1084985.742  1052864.967  0.113  14.0  54.0
145  1084986.785  1051040.032  0.353  28.0  11.0
146  1085054.693  1052975.777  0.819  14.0  54.0
147  1085319.889  1052720.411  1.848  14.0   5.0
148  1085338.206  1052157.755  4.061  30.0  38.0
149  1085354.889  1052695.411  0.401  14.0   5.0
150  1085373.206  1052132.755  0.657  30.0  38.0
151  1085400.292  1051430.081  3.218   8.0  34.0
152  1085435.292  1051405.081  0.921   8.0  34.0
153  1085525.059  1053449.665  1.677  42.0  43.0
