NAME	X	Y	AREA
Parking_E-MH-5763	1083200.47	1046852.709	0.249
SAimp_E-MH-5763	1083235.47	1046827.709	2.005
SAimp_14408	1083319.451	1043384.122	0.497
SAimp_E-MH-18071	1083340.484	1043709.005	0.655
Parking_E-node-2413	1083405.972	1044084.78	0.326
SAimp_E-node-2413	1083440.972	1044059.78	0.52
SAimp_E-node-2414-2	1083532.343	1044616.193	0.228
Parking_E-node-2414-1	1083589.863	1044370.976	0.563
SAimp_E-node-2414-1	1083624.863	1044345.976	0.731
Parking_E-MH-2954-1	1083627.808	1045629.603	2.827
SAimp_E-MH-2954-1	1083662.808	1045604.603	0.733
Parking_E-MH-4240	1083692.355	1047538.136	0.16
Parking_E-MH-4247	1083694.457	1046598.697	0.263
SAimp_E-MH-4240	1083727.355	1047513.136	0.308
SAimp_E-MH-4247	1083729.457	1046573.697	0.527
SAimp_14412-4	1083760.649	1044740.052	0.432
Parking_E-MH-18727	1083928.694	1043960.835	0.458
SAimp_E-MH-18727	1083963.694	1043935.835	0.871
SAimp_14412-2	1083971.358	1044683.161	0.216
SAimp_E-ADDED-E-4841	1084039.271	1044976.384	0.562
SAimp_SPP100	1084068.345	1044342.547	0.425
SAimp_14412-1	1084072.104	1044519.051	0.184
Parking_E-MH-2954-2	1084076.999	1046130.707	5.351
Parking_E-MH-4238	1084100.796	1047078.644	0.791
SAimp_E-MH-2954-2	1084111.999	1046105.707	0.392
Parking_14062	1084119.365	1046755.958	1.395
SAimp_E-MH-4238	1084135.796	1047053.644	0.349
SAimp_14062	1084154.365	1046730.958	0.216
Parking_E-MH-5906	1084201.187	1043992.915	0.36
SAimp_8822	1084207.702	1045192.566	0.1
SAimp_E-MH-5884-1	1084209.472	1044726.762	0.264
SAimp_E-MH-5906	1084236.187	1043967.915	0.317
Parking_8841-4	1084266.634	1047324.884	2.115
Parking_8839	1084409.891	1046556.586	4.175
SAimp_8839	1084444.891	1046531.586	0.388
Parking_E-MH-5902	1084445.019	1044311.809	0.2
SAimp_E-MH-5902	1084480.019	1044286.809	0.656
SAimp_E-MH-5912	1084506.405	1044576.844	0.18
Parking_E-MH-4236	1084571.326	1046828.564	1.12
SAimp_E-MH-4236	1084606.326	1046803.564	0.315
SAimp_E-MH-2955	1084625.644	1046044.263	0.478
Parking_8841-3	1084631.816	1047089.547	1.651
Parking_8841-1	1084720.585	1047829.597	4.155
Parking_8834	1084749.762	1046330.27	1.341
SAimp_8834	1084784.762	1046305.27	0.442
Parking_8841-2	1084989.243	1046915.953	1.422
SAimp_8841-2	1085024.243	1046890.953	0.708
Parking_14004	1085108.981	1046542.211	0.125
SAimp_14004	1085143.981	1046517.211	0.585
Parking_E-MH-2958	1085231.141	1047556.157	2.327
SAimp_E-MH-2958	1085266.141	1047531.157	0.94
SAimp_E-node-1245	1085355.346	1046809.841	0.25
Parking_E-MH-4213	1085410.921	1059003.088	0.343
Parking_E-MH-7099-2	1085413.505	1056258.89	0.13
SAimp_E-MH-4213	1085445.921	1058978.088	1.089
SAimp_E-MH-7099-2	1085448.505	1056233.89	1.21
Parking_E-MH-2959	1085519.887	1048167.221	0.349
SAimp_E-MH-2959	1085554.887	1048142.221	0.191
Parking_E-MH-4227-4	1085625.898	1047186.611	1.1
SAimp_E-MH-8405	1085703.311	1057844.24	0.523
SAimp_E-MH-4212	1085711.587	1059019.546	0.979
Parking_E-MH-4398	1085721.256	1056234.262	0.132
SAimp_E-MH-4398	1085756.256	1056209.262	1.255
Parking_E-MH-7101-2	1085756.737	1055050.049	0.216
Parking_14453-5	1085769.01	1051070.801	0.594
SAimp_E-MH-4227-5	1085773.967	1046671.607	4.129
Parking_E-node-1230	1085774.238	1045584.255	1.52
SAimp_E-MH-7101-2	1085791.737	1055025.049	0.904
SAimp_14453-5	1085804.01	1051045.801	0.675
SAimp_E-node-1230	1085809.238	1045559.255	0.697
SAimp_E-node-1246	1085816.975	1047989.717	0.217
Parking_E-MH-2960	1085842.162	1048344.232	0.373
SAimp_E-MH-2960	1085877.162	1048319.232	0.677
Parking_E-MH-4227-1	1085915.118	1047567.45	1.066
Parking_E-MH-4160	1085964.417	1057807.623	0.374
Parking_14603	1085989.205	1056279.542	0.395
SAimp_E-MH-4211	1085995.277	1059019.75	0.98
SAimp_E-MH-4160	1085999.417	1057782.623	0.837
SAimp_14603	1086024.205	1056254.542	1.133
Parking_E-MH-4603	1086064.807	1052500.55	0.218
SAimp_E-MH-17753	1086085.369	1053526.41	0.902
SAimp_E-MH-4603	1086099.807	1052475.55	0.606
SAimp_14453-4	1086118.889	1051633.506	0.614
SAimp_E-MH-4655	1086163.487	1048654.566	0.168
SAimp_E-MH-3016	1086171.468	1058378.105	0.459
Parking_E-MH-7101-1	1086174.701	1055055.863	0.716
Parking_8852	1086185.931	1048933.071	2.117
SAimp_E-MH-7101-1	1086209.701	1055030.863	0.737
SAimp_14119	1086213.852	1046584.014	0.13
SAimp_8852	1086220.931	1048908.071	0.9
Parking_E-node-1231	1086227.105	1045703.364	3.851
SAimp_E-node-1231	1086262.105	1045678.364	0.792
SAimp_E-MH-4214-1	1086263.268	1057711.127	0.27
Parking_13939	1086267.642	1059101.373	0.13
Parking_E-MH-4218	1086277.969	1058236.252	0.264
SAimp_E-MH-4214-2	1086293.047	1057330.613	0.263
SAimp_14601	1086295.337	1056315.713	1.108
SAimp_13939	1086302.642	1059076.373	0.899
SAimp_14452	1086308.014	1051095.589	0.296
SAimp_E-MH-4218	1086312.969	1058211.252	0.251
SAimp_E-node-2286-1	1086340.227	1054243.208	0.105
Parking_E-MH-4266	1086349.593	1046654.468	0.254
SAimp_E-MH-4266	1086384.593	1046629.468	0.151
Parking_E-node-5545	1086426.373	1051374.373	0.207
SAimp_E-node-2291-2	1086458.682	1051934.67	0.198
SAimp_E-node-5545	1086461.373	1051349.373	0.183
Parking_E-ADDED-E-L8897-3-2	1086461.706	1055335.599	0.253
SAimp_E-node-2289-2	1086468.119	1052835.559	0.307
SAimp_E-ADDED-E-L8897-3-2	1086496.706	1055310.599	0.281
SAimp_E-MH-2993	1086500.175	1053480.78	0.343
SAimp_8877-1	1086504.539	1053185.687	0.376
SAimp_8885	1086513.828	1054353.63	0.691
SAimp_E-MH-3003	1086518.454	1054902.892	0.507
SAimp_E-MH-4249-2	1086522.339	1046449.324	0.193
Parking_E-node-2287-2	1086528.4	1053776.802	0.191
Parking_N/A(NotModeled)-28	1086529.914	1049874.641	0.605
Parking_8899	1086530.414	1055978.695	0.926
SAimp_E-MH-3014	1086534.681	1057925.741	0.555
SAimp_E-node-1244	1086554.465	1046757.066	0.308
SAimp_E-node-2287-2	1086563.4	1053751.802	0.103
SAimp_8899	1086565.414	1055953.695	0.735
SAimp_E-MH-3013	1086571.81	1057605.739	0.491
SAimp_8915	1086572.54	1057306.615	0.425
Parking_E-MH-3015	1086573.547	1058312.452	0.578
SAimp_8909	1086574.576	1056783.09	0.342
Parking_8926-2	1086576.215	1059141.818	0.671
SAimp_8913	1086579.044	1057030.705	0.201
SAimp_E-MH-3015	1086608.547	1058287.452	0.509
SAimp_8926-2	1086611.215	1059116.818	1.337
Parking_12537-3	1086631.918	1054828.454	0.727
SAimp_E-node-1243-2	1086697.028	1047047.714	0.431
SAimp_E-ADDED-E-L8897-3-1	1086720.816	1055268.429	0.258
Parking_E-node-1243-1	1086740.689	1046780.163	0.147
Parking_E-MH-4656	1086750.543	1048778.899	5.203
SAimp_13872	1086767.961	1058596.208	0.149
SAimp_E-node-1243-1	1086775.689	1046755.163	0.426
SAimp_E-MH-4656	1086785.543	1048753.899	0.832
Parking_E-MH-4250	1086840.864	1046322.386	1.097
SAimp_E-MH-4267-1	1086855.989	1046641.083	0.134
Parking_13828	1086863.944	1057937.994	0.295
SAimp_E-MH-4250	1086875.864	1046297.386	0.31
Parking_9315	1086890.885	1051199.11	0.19
SAimp_13828	1086898.944	1057912.994	1.211
Parking_8896	1086902.951	1055856.859	1.741
Parking_E-node-2290	1086915.033	1052346.204	0.334
SAimp_9315	1086925.885	1051174.11	0.947
SAimp_E-MH-4190-1	1086933.673	1059377.956	1.405
Parking_8903	1086935.186	1056661.904	1.762
SAimp_8896	1086937.951	1055831.859	1.346
Parking_N/A(NotModeled)-27	1086941.442	1050187.082	2.242
SAimp_E-node-2290	1086950.033	1052321.204	1.134
SAimp_E-MH-4267-2	1086967.327	1046570.009	0.113
SAimp_8903	1086970.186	1056636.904	0.538
Parking_E-node-2286-2	1086994.677	1054235.701	0.252
SAimp_E-node-2291-1	1087006.082	1051736.752	1.055
SAimp_E-node-2286-2	1087029.677	1054210.701	2.221
SAimp_E-node-1241	1087032.022	1046812.414	0.218
Parking_E-node-2289-1	1087039.703	1052694.786	0.249
Parking_E-node-1229-1	1087043.668	1044857.052	0.881
SAimp_E-MH-4190	1087048.969	1060246.841	0.127
SAimp_E-node-2292	1087060.456	1051474.516	0.727
SAimp_8871	1087068.346	1052020.057	0.741
SAimp_E-node-2289-1	1087074.703	1052669.786	0.872
SAimp_E-node-1229-1	1087078.668	1044832.052	0.121
Parking_8877-3	1087102.3	1053024.493	0.144
Parking_E-node-2287-1	1087121.74	1053617.975	0.17
SAimp_E-node-1229-2	1087123.195	1046028.912	0.297
Parking_E-node-1240-1	1087136.589	1046791.718	0.1
SAimp_8877-3	1087137.3	1052999.493	1.001
SAimp_E-node-2287-1	1087156.74	1053592.975	0.719
SAimp_E-node-2288	1087157.084	1053310.144	0.591
SAimp_E-node-1240-1	1087171.589	1046766.718	0.17
SAimp_13829	1087190.202	1057917.144	1.205
Parking_14076	1087214.214	1045903.247	0.147
SAimp_E-MH-4191-1	1087216.608	1059410.503	1.127
Parking_E-node-1240-2	1087216.871	1046584.746	0.147
SAimp_E-MH-4191	1087222.398	1060187.682	0.112
SAimp_14076	1087249.214	1045878.247	0.44
SAimp_E-node-1240-2	1087251.871	1046559.746	0.104
SAimp_E-node-1239	1087315.114	1046818.082	0.271
SAimp_E-MH-4192-3	1087362.931	1058717.152	0.106
Parking_E-MH-8455-1	1087371.117	1055410.328	0.179
SAimp_E-node-1228	1087371.737	1046022.823	0.263
Parking_14583	1087380.249	1056103.616	1.603
SAimp_E-MH-8455-1	1087406.117	1055385.328	0.62
SAimp_14583	1087415.249	1056078.616	0.657
Parking_15390	1087425.931	1048343.594	3.666
SAimp_15390	1087460.931	1048318.594	0.344
SAimp_E-node-1238	1087469.476	1046774.685	0.261
SAimp_13830-2	1087501.532	1057980.223	0.948
SAimp_E-node-1227	1087502.726	1046078.055	0.311
Parking_E-MH-4661-1	1087506.794	1049069.462	5.935
SAimp_E-MH-4192-1	1087527.392	1059406.91	0.764
SAimp_E-MH-4661-1	1087541.794	1049044.462	0.432
Parking_14135	1087565.168	1046708.829	0.106
SAimp_E-MH-3148-2	1087590.899	1051097.04	0.348
Parking_E-MH-4517	1087598.965	1046272.064	0.137
SAimp_14135	1087600.168	1046683.829	0.211
Parking_E-MH-4192-2	1087602.361	1058779.926	0.1
SAimp_E-MH-4309-1	1087621.671	1047342.511	0.794
Parking_E-MH-4646	1087625.828	1050203.779	13.17
SAimp_E-MH-4517	1087633.965	1046247.064	0.12
SAimp_E-MH-4192-2	1087637.361	1058754.926	0.12
SAimp_E-MH-3147	1087650.696	1051517.481	0.779
Parking_E-MH-4385	1087660.527	1056099.43	4.245
SAimp_E-MH-4646	1087660.828	1050178.779	0.709
Parking_E-MH-8626-1	1087691.4	1054667.623	1.007
SAimp_E-MH-4385	1087695.527	1056074.43	0.697
SAimp_E-node-2262	1087712.659	1059161.143	0.228
SAimp_E-MH-8626-1	1087726.4	1054642.623	1.042
SAimp_E-node-1237-1	1087750.468	1046803.586	0.24
SAimp_E-node-1226	1087765.543	1046302.437	0.277
SAimp_13831	1087770.377	1058047.632	0.842
SAimp_E-MH-8834	1087795.334	1053324.77	0.731
SAimp_E-node-1237-2	1087815.466	1046555.229	0.105
SAimp_E-node-2261-1	1087846.18	1059136.88	0.229
SAimp_E-MH-8980-2	1087880.391	1052418.732	1.56
