               0            1      2     3     4
0    1075096.340  1050907.040  1.946  21.0  81.0
1    1075578.408  1051102.587  3.300  21.0  81.0
2    1075613.408  1051077.587  0.525  21.0  81.0
3    1075699.450  1054752.544  1.426  25.0  26.0
4    1075833.999  1053620.441  1.441  36.0  10.0
5    1075886.861  1052835.368  0.122  36.0  85.0
6    1075915.894  1050356.216  0.372  21.0  49.0
7    1075972.861  1050697.736  0.159  21.0  49.0
8    1076048.796  1053060.176  0.468  36.0  85.0
9    1076083.796  1053035.176  0.464  36.0  85.0
10   1076092.997  1052610.075  0.206  36.0  85.0
11   1076095.235  1053402.098  0.233  36.0  10.0
12   1076100.416  1054143.289  0.130  25.0  61.0
13   1076101.217  1053814.339  0.290  25.0  10.0
14   1076104.297  1050314.967  0.227  33.0  49.0
15   1076104.882  1051860.042  0.606  21.0  89.0
16   1076105.314  1051030.547  0.437  21.0  32.0
17   1076105.448  1050543.660  0.175  21.0  49.0
18   1076105.767  1049984.121  0.422  33.0  49.0
19   1076107.208  1054959.117  0.226  25.0  26.0
20   1076108.596  1052844.853  0.124  36.0  85.0
21   1076127.997  1052585.075  0.265  36.0  85.0
22   1076142.208  1054934.117  2.005  25.0  26.0
23   1076231.020  1053244.426  0.194  36.0  10.0
24   1076231.622  1052319.913  0.151  36.0  89.0
25   1076234.292  1051407.260  0.125  21.0  32.0
26   1076245.105  1050134.119  0.150  33.0  49.0
27   1076255.053  1054269.305  0.151  25.0  61.0
28   1076256.756  1051316.354  0.115  21.0  32.0
29   1076271.436  1049749.131  0.565  33.0  52.0
30   1076348.812  1053908.240  0.262  25.0  61.0
31   1076351.606  1051040.474  0.310  21.0  32.0
32   1076362.789  1053456.741  0.269  36.0  10.0
33   1076366.096  1051857.993  0.569   9.0  89.0
34   1076367.826  1050360.341  0.415  33.0  49.0
35   1076370.645  1054878.183  0.510  25.0  26.0
36   1076373.054  1052752.075  0.614  36.0  85.0
37   1076383.812  1053883.240  0.310  25.0  61.0
38   1076384.457  1044786.143  0.749   4.0  92.0
39   1076386.606  1051015.474  0.492  21.0  32.0
40   1076419.457  1044761.143  1.198   4.0  92.0
41   1076491.187  1046646.608  7.150  43.0  57.0
42   1076491.507  1053202.408  0.102  36.0  10.0
43   1076495.572  1050043.843  0.142  33.0  52.0
44   1076498.717  1049933.776  0.125  33.0  52.0
45   1076505.714  1051324.494  0.116  21.0  32.0
46   1076507.783  1051418.805  0.127  21.0  32.0
47   1076518.608  1053314.499  0.170  36.0  10.0
48   1076526.507  1053177.408  0.183  36.0  10.0
49   1076533.046  1051010.911  0.267  21.0  32.0
50   1076555.875  1050375.516  0.237  33.0   6.0
51   1076559.500  1054189.471  0.126  25.0  61.0
52   1076563.089  1049603.080  0.129  33.0  52.0
53   1076566.227  1051907.337  0.437   9.0  89.0
54   1076568.046  1050985.911  0.253  21.0  32.0
55   1076570.143  1053916.576  0.147  25.0  61.0
56   1076575.062  1054418.533  0.197  25.0  61.0
57   1076583.831  1049795.880  0.102  33.0  52.0
58   1076629.162  1052799.561  0.191  36.0  55.0
59   1076630.181  1052524.835  0.218  36.0  55.0
60   1076636.145  1055136.466  0.963  25.0  26.0
61   1076645.764  1053549.159  0.272  18.0  10.0
62   1076652.892  1053072.747  0.163  36.0  55.0
63   1076699.844  1050460.894  0.107  33.0   6.0
64   1076701.789  1053914.936  0.104  25.0  61.0
65   1076701.989  1052040.963  0.129   9.0  89.0
