                0            1     2     3     4     5     6     7     8     9
69    1069110.386  1050215.710  14.0  92.0  27.0  39.0  31.0  24.0  28.0  54.0
70    1069125.753  1052624.791  47.0  43.0  18.0  86.0   1.0  37.0   6.0  70.0
71    1069162.361  1052855.412  47.0  43.0  18.0  84.0   1.0  37.0   6.0  70.0
72    1069165.622  1053548.360  47.0  23.0  18.0  84.0   1.0  84.0   6.0   4.0
73    1069197.361  1052830.412  47.0  43.0  18.0  84.0   1.0  37.0   6.0  70.0
74    1069207.963  1050539.075  14.0  92.0  27.0  39.0  31.0  24.0  28.0  54.0
75    1069213.728  1052468.572  29.0  43.0  18.0  86.0  46.0  37.0  35.0  70.0
76    1069242.963  1050514.075  14.0  92.0  27.0  39.0  31.0  24.0  28.0  54.0
77    1069248.728  1052443.572  29.0  43.0  18.0  86.0  46.0  37.0  35.0  70.0
78    1069251.471  1049966.894  14.0   5.0  27.0  39.0  31.0  24.0  28.0  54.0
79    1069265.812  1050949.690  14.0  92.0  27.0  64.0  31.0  54.0  28.0  31.0
80    1069286.471  1049941.894  14.0   5.0  27.0  39.0  31.0  24.0  28.0  54.0
81    1069300.812  1050924.690  14.0  92.0  27.0  64.0  31.0  54.0  28.0  31.0
82    1069302.867  1053023.682  47.0  43.0  18.0  84.0   1.0  84.0   6.0  70.0
83    1069330.061  1052168.391  29.0  43.0  18.0   3.0  46.0   3.0  35.0  70.0
84    1069349.613  1053280.284  47.0  43.0  18.0  84.0   1.0  84.0   6.0  39.0
85    1069355.991  1051835.302  29.0  95.0  18.0  64.0  46.0  54.0  35.0  31.0
86    1069378.953  1053650.104  47.0  56.0  18.0  84.0   1.0  84.0   6.0  39.0
87    1069384.613  1053255.284  47.0  43.0  18.0  84.0   1.0  84.0   6.0  39.0
88    1069389.662  1051354.921  29.0  95.0  27.0  64.0  46.0  54.0  35.0  31.0
89    1069413.953  1053625.104  47.0  56.0  18.0  84.0   1.0  84.0   6.0  39.0
90    1069438.149  1050538.913  14.0  92.0  27.0  39.0  31.0  24.0  28.0  54.0
91    1069466.981  1052472.771  29.0  43.0  18.0   3.0  46.0   3.0  35.0  70.0
92    1069473.149  1050513.913  14.0  92.0  27.0  39.0  31.0  24.0  28.0  54.0
93    1069481.381  1052712.287  29.0  43.0  18.0   3.0   1.0   3.0   6.0  70.0
94    1069499.913  1049282.728  14.0   5.0  27.0  39.0  31.0  24.0  28.0  54.0
95    1069516.381  1052687.287  29.0  43.0  18.0   3.0   1.0   3.0   6.0  70.0
96    1069529.966  1051449.666  29.0  95.0  27.0  64.0  46.0  54.0  35.0  31.0
97    1069558.328  1051577.043  29.0  95.0  27.0  64.0  46.0  54.0  35.0  31.0
98    1069629.245  1052207.246  29.0  43.0  18.0   3.0  46.0   3.0  35.0  84.0
