NAME	X	Y	AREA
Parking_E-MH-17899	1079278.836	1045243.381	6.068
SAimp_E-MH-17899	1079313.836	1045218.381	1.981
Parking_E-MH-9029	1079361.948	1045737.587	0.114
SAimp_E-MH-18737	1079791.064	1046278.874	0.668
SAimp_E-MH-17898	1079846.194	1045153.025	0.452
SAimp_E-MH-9028	1079991.806	1045516.202	0.198
SAimp_12603-1	1080012.953	1044974.792	1.005
SAimp_E-MH-18739	1080137.873	1046047.349	0.814
SAimp_E-MH-17896-2	1080187.55	1044411.78	0.145
SAimp_N/A(Not_Modeled)-27	1080342.383	1043697.869	0.123
SAimp_E-MH-17896-1	1080371.726	1045067.034	1.196
SAimp_10076-2	1080386.154	1045554.015	5.66
SAimp_E-MH-18740	1080408.759	1045967.297	0.71
SAimp_10069	1080492.008	1044216.153	0.332
SAimp_E-MH-18741-1	1080634.108	1045814.248	0.567
SAimp_10072	1080696.484	1044984.732	0.721
SAimp_10076-3	1080782.402	1045615.039	0.175
SAimp_12549	1080803.471	1044446.17	0.295
SAimp_E-MH-18741-2	1080878.877	1046031.155	0.136
SAimp_10076-4	1080981.262	1045803.615	0.244
Parking_E-MH-9006	1080998.572	1045048.585	0.9
SAimp_E-MH-9006	1081033.572	1045023.585	0.948
SAimp_12551	1081165.392	1044819.618	0.274
SAimp_E-node-2418-2	1081178.159	1045778.218	0.291
SAimp_8794	1081195.457	1046248.937	0.314
SAimp_10076-1	1081215.66	1045476.295	0.505
SAimp_12552	1081312.017	1044344.288	0.379
Parking_10138	1081343.784	1046669.42	0.287
SAimp_10138	1081378.784	1046644.42	0.595
SAimp_E-node-2418-1	1081384.798	1046160.835	0.418
SAimp_E-MH-9009-2	1081394.186	1044764.712	0.538
SAimp_E-node-2417	1081506.494	1045576.547	0.209
SAimp_E-MH-3445-1	1081534.605	1045998.923	0.438
SAimp_E-MH-9009-1	1081567.161	1044635.945	0.151
SAimp_E-node-2546-2	1081626.858	1046684.031	0.128
SAimp_E-node-1267-4	1081679.623	1045349.256	0.58
Parking_E-MH-9013	1081751.478	1044651.535	0.345
SAimp_E-MH-9013	1081786.478	1044626.535	0.119
Parking_E-MH-9015-2	1081836.373	1045033.671	0.484
SAimp_E-MH-9015-2	1081871.373	1045008.671	0.258
Parking_E-node-413	1081873.766	1047972.103	0.109
SAimp_E-node-2416	1081895.28	1046237.681	0.841
Parking_10124-1	1081971.698	1048185.464	0.241
Parking_10130	1081995.698	1047669.583	0.632
SAimp_10124-1	1082006.698	1048160.464	0.235
SAimp_E-node-1266-2	1082024.239	1045375.915	0.271
SAimp_10130	1082030.698	1047644.583	0.316
SAimp_E-node-383-3	1082059.378	1045149.888	2.076
Parking_E-MH-6870	1082083.367	1050996.406	4.06
Parking_E-node-1267-2	1082100.346	1046068.29	0.206
Parking_E-MH-3733	1082118	1050394.225	0.514
SAimp_E-MH-6870	1082118.367	1050971.406	1.215
SAimp_E-node-1267-2	1082135.346	1046043.29	0.822
SAimp_E-MH-3733	1082153	1050369.225	0.265
Parking_E-MH-9015-1	1082156.513	1044716.142	0.437
SAimp_E-MH-9015-1	1082191.513	1044691.142	0.987
Parking_10124-2	1082217.867	1048327.046	0.464
SAimp_10124-2	1082252.867	1048302.046	0.315
SAimp_E-node-383-1	1082303.462	1045276.04	0.226
Parking_12460-3	1082316.591	1050143.62	0.118
SAimp_E-MH-9016-1	1082340.02	1043744.344	0.494
SAimp_12460-3	1082351.591	1050118.62	0.313
SAimp_E-node-1266-1	1082389.77	1045908.128	0.765
Parking_10132-2	1082430.211	1047244.191	1.189
SAimp_10132-2	1082465.211	1047219.191	1.607
SAimp_E-node-384	1082465.848	1045164.216	0.437
Parking_E-MH-3738	1082477.761	1051042.524	0.466
Parking_E-MH-20258-2	1082482.099	1049212.348	0.18
SAimp_E-MH-3763-1	1082489.551	1047810.548	0.295
SAimp_E-MH-3763-2	1082500.846	1048145.757	0.659
SAimp_E-MH-3738	1082512.761	1051017.524	0.142
SAimp_E-MH-9016-2	1082533.647	1044420.817	0.148
Parking_E-MH-3737-1	1082568.847	1051680.168	6.956
SAimp_E-node-383-2	1082579.39	1045651.119	0.648
SAimp_E-MH-3737-1	1082603.847	1051655.168	0.359
Parking_E-MH-20259	1082660.982	1049617.291	1.265
SAimp_E-MH-20258-1	1082665.187	1049085.493	0.312
Parking_12448	1082694.53	1049962.2	0.914
SAimp_E-MH-20259	1082695.982	1049592.291	0.526
Parking_E-MH-3766-2	1082697.832	1045314.42	1.013
Parking_12460-2	1082717.152	1050468.55	1.447
SAimp_12448	1082729.53	1049937.2	0.39
SAimp_E-MH-3766-2	1082732.832	1045289.42	0.373
SAimp_12460-2	1082752.152	1050443.55	0.706
Parking_E-MH-3737-2	1082764.906	1051027.809	1.56
SAimp_E-MH-9024-1	1082782.871	1044710.764	0.385
SAimp_E-MH-3737-2	1082799.906	1051002.809	0.609
Parking_E-MH-9024-3	1082835.637	1043854.383	0.192
SAimp_12579	1082851.143	1048120.324	0.633
Parking_10132-1	1082851.319	1047352.801	0.189
